"","X"
"193",7.07515870988258
"194",8.45366219103679
"195",8.55557638264897
"196",10.1591011880689
"197",8.75609749256903
"198",8.18650515377016
"199",8.44629400208554
"200",6.78906141160716
"201",17.469272858546
"202",17.1686636605307
"203",13.3083796643385
"204",15.6267986355112
"205",14.9447728523766
"206",15.8780017422653
"207",16.2495123151794
"208",15.8487530894955
"209",17.5357031654816
"210",14.9847841966754
"211",15.7157817815245
"212",17.283630595149
"213",15.7777564353971
"214",12.6997655853893
"215",14.8519837797591
"216",13.3917997420062
"217",15.9282568595993
"218",15.1922938885555
"219",15.3503473654975
"220",15.2549955130468
"221",13.5670461360706
"222",14.7248476769486
"223",13.3525522866788
"224",17.0926729662088
"225",18.1833542794319
"226",16.0199081529591
"227",13.5848353707509
"228",16.8178691414781
"229",17.3503302233467
"230",15.15967506433
"231",14.6263087152619
"232",14.6739297134276
"233",19.2034644347865
"234",12.8991997895745
"235",15.0193169972709
"236",16.5395231716401
"237",16.6290452076576
"238",14.5340020051786
"239",19.3648223941621
"240",14.5101115306666
"241",14.7180272973116
"242",17.1592840769512
"243",15.9419311337654
"244",17.1347861235451
"245",15.9209965554451
"246",16.1769655888488
"247",16.7766701222835
"248",16.7498292827082
"249",16.177646768014
"250",14.2854169001761
"251",16.9507894383016
"252",15.8165217374094
"253",16.9284623023128
"254",17.4634902077672
"255",15.4238777411946
"256",16.965470027184
"257",15.0052324522614
"258",16.3724587442272
"259",13.1101031620495
"260",17.6895020907046
"261",14.9636239624397
"262",13.8603355939679
"263",15.4284370424485
"264",19.3233539081161
"265",19.0125214454823
"266",16.208835974637
"267",16.2573260834815
"268",17.1841072557701
"269",18.6955526851941
"270",16.465732493223
"271",13.7727170165324
"272",17.1551011095744
"273",17.3777109917066
"274",15.2613561877424
"275",15.652367743175
"276",14.8738580083616
"277",15.6256060831404
"278",15.309618698632
"279",15.0656853457751
"280",17.5202074738592
"281",16.725428674737
"282",17.6955385351869
"283",14.6710203028623
"284",15.6916041946142
"285",17.7688867265297
"286",18.8507985224839
"287",18.6832778042801
"288",14.0449419133702
"289",19.256605953593
"290",15.543131962658
"291",14.3120525219702
"292",15.1981978165772
"293",15.1974067811586
"294",13.1529991175253
"295",13.6448495166848
"296",15.7006016602887
"297",15.5109942204211
"298",16.1045229575967
"299",15.4836278206835
"300",15.2359504390183
"301",17.0061439259017
"302",14.3126018258908
"303",16.0732387901697
"304",15.8050956512186
"305",17.645275286384
"306",15.1188494384502
"307",13.1808446010434
"308",14.2637446183904
"309",14.6090245979141
"310",14.4633882527857
"311",16.0158909091788
"312",18.0705176072584
"313",14.6811472996612
"314",16.2347128075794
"315",16.0387784260411
"316",15.5511807005353
"317",15.0331123740055
"318",15.8214180179479
"319",14.0904803273106
"320",18.1208188609333
"321",15.277248217787
"322",17.0982013171349
"323",18.2267578988857
"324",13.6796779778373
"325",16.9820978624272
"326",17.4345771016967
"327",16.9491992905194
"328",16.1775835007668
"329",18.5682973303308
"330",15.2587372785247
"331",13.0959468214336
"332",19.3943604794292
"333",16.7372221925078
"334",14.8730846618368
"335",17.3696165930913
"336",15.1727501838448
"337",16.9289804247411
"338",15.887580703654
"339",17.625093205294
"340",17.3697971194673
"341",15.173647610102
"342",14.8290357943726
"343",17.5839132380905
"344",15.7254055368834
"345",17.4308824126778
"346",16.9920980636399
"347",16.6327849781214
"348",17.1054194791282
"349",14.6187776612327
"350",15.3466650670977
"351",32.7789442223417
"352",29.678973323464
"353",30.981085272162
"354",36.0966068365578
"355",32.6251134317499
"356",34.2867484693346
"357",38.7142253098287
"358",31.7691546086024
"359",31.7820585951638
"360",35.603530077656
