"X1","X2","X3","RESPONSE"
"G_3",12.7,2.2,11.3
"G_1",18.1,12,5
"G_2",12.1,3.1,9.1
"G_3",13.3,1.3,10.3
"G_4",19.6,22.4,10.9
"G_1",16.6,5,5.6
"G_2",18.3,13.3,6.1
"G_2",16.8,5.4,6.6
"G_1",14.5,1.7,8
"G_2",15.6,2.2,7.5
"G_4",18.8,16.1,11.1
"G_2",16.8,6.6,7.2
"G_3",15.8,3.3,9.1
"G_4",12.2,3.2,14.3
"G_4",16.1,3.8,12.3
"G_1",15.8,2.9,6.9
"G_3",15.7,2.8,8.8
"G_3",12.7,2.3,11.7
"G_3",16.7,5.6,9
"G_2",16.5,4.9,6.8
"G_1",17,6.9,6
"G_3",10.8,7,12.2
"G_3",18.8,16.4,6.6
"G_3",12.3,3.1,11.3
"G_2",19.1,18.4,4.2
"G_4",11.6,4.7,16.3
"G_3",19.9,24.1,7.1
"G_2",14.1,1.1,8.8
"G_2",19.8,23.1,5.5
"G_2",13.6,1.6,8
"G_2",10.8,7.3,10.9
"G_3",10.9,7.8,11.7
"G_2",15.2,1.6,7.9
"G_2",15.4,2.5,7.3
"G_2",13.4,0.5,8.8
"G_3",15.4,2.1,9.5
"G_3",13.7,0.9,10.5
"G_3",16.5,5.2,9
"G_3",15.6,2.1,8.9
"G_3",15,1.6,9.5
"G_3",19.3,20.1,6
"G_2",12.1,3.5,8.7
"G_4",16.2,4.7,12.3
"G_1",19.2,18.3,4.6
"G_3",12.7,1.4,10.5
"G_1",14.5,1.4,8.2
"G_4",10.5,9.2,15.8
"G_3",14.7,1.2,10.2
"G_3",19.5,20.7,6.5
"G_1",17.7,9.8,5.3
"G_3",13.8,0.6,10.9
"G_4",16,3.8,12.1
"G_2",15.4,2.5,7.4
"G_4",10.5,9.5,16.3
"G_4",10.3,9.8,15.3
"G_4",17.4,8.6,11.6
"G_3",15,2.2,9.2
"G_1",17.2,7.5,6.2
"G_4",18.5,13.7,11
"G_4",19.3,20.1,10.4
"G_4",18.1,12.9,10.7
"G_1",18.3,12.8,4.3
"G_3",16.8,6.5,7.5
"G_1",10.6,9,9.4
"G_3",12.2,3.4,11.6
"G_4",11.9,4.1,14.2
"G_1",14.4,1.2,6.9
"G_3",10.1,11.5,12
"G_3",18.3,13.9,8.4
"G_2",17.8,10.6,6.3
"G_4",16,3.8,12.2
"G_4",18.8,16.5,10.1
"G_2",12.4,3,9.3
"G_1",15,2,7.2
"G_1",11.7,5,8.4
"G_2",17.1,7.7,5.6
"G_2",14.1,1.3,7.8
"G_4",10.5,9.6,15.3
"G_2",13.3,1.1,8.7
"G_2",11.6,5.1,8.8
"G_1",18.2,13.4,5.5
"G_2",14.6,1.8,8.9
"G_1",18.2,12.8,5.2
"G_2",10.7,8.6,10.3
"G_1",13.4,1.5,8.1
"G_3",13.9,0.9,10.1
"G_1",10.6,8.7,9.1
"G_1",11,6.7,9.6
"G_1",14,0.7,7.1
"G_2",15.9,3.1,8.1
"G_2",17.7,10.4,6.2
"G_1",12.9,1.3,8
"G_1",11.5,5.3,9
"G_4",13.3,1.6,13.9
"G_3",17.8,11,8.6
"G_3",13.3,0.9,10.1
"G_2",19.1,17.9,5.7
"G_1",13.1,1.6,7.7
"G_2",17.5,9.5,6.2
"G_2",19.4,20.6,4.9
"G_4",10.4,11,15.6
"G_4",13.2,0.6,14.4
"G_2",19,17.6,4.8
"G_4",12.8,1.5,14.5
"G_3",17.1,7.8,7.9
"G_4",10.1,11.2,15.9
"G_3",16.9,5.8,8.9
"G_3",15.1,1.2,9.7
"G_1",12.2,3.5,8.2
"G_3",18.1,12.5,7.2
"G_3",16.7,5.7,8.6
"G_2",15.1,2.2,7.9
"G_4",17.7,10.4,11.9
"G_3",15.8,2.8,9.7
"G_3",15.6,2.6,9.7
"G_2",14.6,1.7,7.7
"G_3",12.9,1.3,10.9
"G_4",19.4,20.4,10.5
"G_2",11.6,5.4,9.9
"G_4",10.3,10.7,16.4
"G_4",10.2,10.5,16.3
"G_1",15.4,2.2,6.1
"G_3",16.9,6.7,8.6
"G_2",12.5,2.7,8.7
"G_1",14.6,0.9,7.6
"G_3",16.1,4.2,9.3
"G_2",16.2,3.6,6.6
"G_1",19,17.7,4.3
"G_4",16.2,4.2,11.5
"G_4",13.3,1.3,13.8
"G_1",12.5,2.2,8.2
"G_2",15.8,3.4,6.6
"G_1",13.6,1.4,8.7
"G_3",15.6,2.1,10.1
"G_3",14.4,1.4,9.5
"G_1",18.8,16.1,4
"G_3",19.2,19.1,7.8
"G_1",13.8,1,6.8
"G_4",12.1,3.7,14.8
"G_3",10.7,8.1,11.4
"G_4",15.5,2.8,12.2
"G_2",17.3,8.5,6.5
"G_1",15.7,3.1,6.1
"G_2",18.6,14.5,6
"G_4",13.9,0.7,14
"G_3",10.8,7.9,11.7
"G_2",12.2,3,9.3
"G_4",13.8,1.2,14
"G_1",14.1,1.2,7.5
"G_2",11.9,4.4,8
"G_1",18.9,17.3,4.5
"G_3",16.7,5.9,8.8
"G_4",12,4.2,15.6
"G_4",13,0.5,14
"G_2",18.2,12.1,4.9
"G_1",15.8,3,7.4
"G_4",17,6.9,11.7
"G_1",13.4,1,8.4
"G_3",14,1.2,10.6
"G_4",19,17.6,10.3
"G_3",10.5,9.2,13.1
"G_4",19.7,22.4,9.9
"G_2",10.1,11.2,10.8
"G_3",13.7,1.3,11
"G_1",15.2,1.8,7.1
"G_3",15,1.7,9.3
"G_3",10.2,10.5,12.9
"G_3",14.3,0.7,10.6
"G_1",12.3,2.9,8.4
"G_3",16.2,4.1,9.3
"G_4",16.2,4.5,12.8
"G_1",16.5,5.1,6
"G_2",11.7,4.3,9.1
"G_3",11.4,5.7,11.5
"G_3",20,25.4,7.5
"G_4",13.5,0.9,14.4
"G_1",14.7,1.6,7.4
"G_4",18.2,12,11.4
"G_4",10.5,8.5,16.4
"G_1",18.5,14,5.3
"G_2",11.9,3.9,9.7
"G_2",16,4,7.3
"G_1",13.4,1.2,7.7
"G_2",11.3,5.7,9.7
"G_2",14.9,1.7,7.7
"G_1",10.5,8.8,10.3
"G_1",14.6,1.1,7.2
"G_2",10.7,8.3,9.7
"G_3",16.5,4.9,8.6
"G_1",14.1,0.5,8
"G_1",11.5,5,8.8
"G_3",12.9,1.6,11.2
"G_1",15.9,3.8,6.6
"G_2",13,1.4,8.8
"G_3",13.1,1.7,10.3
"G_4",19.9,23.8,10.2
"G_3",14.1,0.2,10
"G_3",10.5,8.6,12.2
